RMP (mV),Resistance (GΩ),Time constant (s),Capacitance (nF),Threshold (mV),Peak (mV),Threshold to peak (mV),Spike width (ms),Latency (ms),Cell
-60.7,0.29,0.06,0.19,-39.1,18.8,57.9,0.6,5.4,M203a
-66.3,0.18,0.06,0.32,-44.5,18.4,62.9,0.5,6.2,M203b
-63.5,0.06,0.06207569834222565,0.5455095162383437,-42.1,10.6,52.7,0.4,70.9,M203c
-72.6,0.58,0.06,0.1,-38.6,28.6,67.2,0.8,12.3,M203e
-66.6,0.86,0.09,0.1,-37.0,32.0,69.0,1.2,7.7,M204d
-67.0,0.69,0.07,0.1,-33.0,26.4,59.4,1.3,4.1,M204e
-56.2,0.3326944997684396,0.08,0.09,-34.5,33.0,67.5,1.2,10.4,M204f
-62.9,0.29,0.06,0.22,-40.9,36.6,77.5,0.5,30.3,M204h
-62.6,0.24459210060565878,0.06,0.15,-35.3,31.1,66.4,0.5,65.4,M204i
-62.0,0.31,0.07,0.24,-31.7,29.2,60.9,1.1,63.3,M205h
-66.1,0.3004373610981686,0.08041150313598926,0.5718305472575245,-35.1,35.0,70.1,0.8,31.2,M205i
-71.3,0.11,0.06,0.58,-29.7,40.6,70.3,0.8,28.3,M205j
-63.7,0.32445041573837313,0.06,0.08,-36.7,43.1,79.8,0.9,20.1,M205k
-58.4,0.34,0.06,0.18,-30.4,27.4,57.8,0.5,78.4,M205l
-83.9,0.17,0.07,0.45,-30.8,26.6,57.4,1.1,24.6,M206a
-58.9,0.280389770003192,0.06,0.13,-37.0,16.6,53.6,1.0,36.9,M206b
-72.3,0.1,0.16,1.67,-29.1,34.1,63.1,1.1,43.3,M206c
-85.0,0.13,0.06,0.44,-35.5,36.2,71.7,0.9,27.3,M206e
-66.3,0.3357403021093734,0.07,0.09,-37.6,29.6,67.2,1.0,7.0,M207e
-46.7,0.07,0.27,5.49,-34.9,22.1,56.9,0.8,6.3,M207f
